id	分類	要件名	概要	利用者
req-001	出退勤記録管理	出退勤打刻	従業員は、指定された手段（ICカード、スマートフォンアプリなど）を用いて、自身の出社時刻および退社時刻を正確に記録できる。	一般従業員
req-002	出退勤記録管理	リモートワーク打刻	リモートワーク中の従業員は、自宅からでも出社/退社時刻を正確に記録できる。	一般従業員
req-003	出退勤記録管理	打刻履歴確認	従業員は、自身の過去の打刻履歴（出社、退社、休憩など）をいつでも確認できる。	一般従業員
req-004	出退勤記録管理	部下打刻状況確認	管理職は、自身の部下の現在の出退勤状況および過去の打刻履歴をリアルタイムで確認できる。	管理職
req-005	出退勤記録管理	打刻修正申請	打刻忘れや誤打刻があった場合、従業員はシステムを通じて打刻修正申請を行える。	一般従業員
req-006	出退勤記録管理	打刻修正承認	管理職は、部下から提出された打刻修正申請を審査し、承認または却下できる。	管理職
req-007	休暇管理	休暇申請	従業員は、有給休暇、特別休暇、慶弔休暇などの各種休暇をオンラインで申請できる。	一般従業員
req-008	休暇管理	休暇申請承認	管理職は、部下から提出された休暇申請を審査し、承認または却下できる。	管理職
req-009	休暇管理	休暇残日数確認	従業員は、自身の利用可能な休暇残日数（有給休暇など）をリアルタイムで確認できる。	一般従業員
req-010	休暇管理	休暇取得状況把握	人事部門は、全従業員の休暇取得状況（取得日数、残日数、取得傾向など）を部門別、個人別に集計し、把握できる。	人事部門
req-011	休暇管理	休暇データ自動反映	承認された休暇情報は、自動的に従業員の勤怠データに反映され、労働時間集計から除外される。	人事部門, 管理職
req-012	残業管理	残業申請	従業員は、予定される残業時間および理由を記載し、オンラインで残業申請を行える。	一般従業員
req-013	残業管理	残業申請承認	管理職は、部下から提出された残業申請を審査し、承認または却下できる。	管理職
req-014	残業管理	残業時間自動計上	承認された残業時間は、自動的に勤怠データに計上され、給与計算の基礎情報となる。	人事部門, 管理職
req-015	残業管理	残業超過アラート	規定（例：36協定の限度時間）を超える残業が発生した場合、システムは管理職および人事部門にアラートを発する。	管理職, 人事部門
req-016	残業管理	部下残業実績確認	管理職は、自身の部下の残業時間実績を月次で確認し、適切な労働時間管理を行える。	管理職
req-017	シフト管理	シフト作成・割り当て	管理職は、従業員グループまたは個人に対し、柔軟に勤務シフトを作成し、割り当てられる。	管理職
req-018	シフト管理	シフト確認	従業員は、自身に割り当てられた勤務シフトをオンラインで確認できる。	一般従業員
req-019	シフト管理	シフト変更申請承認	シフト変更が必要な場合、従業員はオンラインで変更申請を行い、管理職はそれを承認または却下できる。	一般従業員, 管理職
req-020	シフト管理	シフトと打刻の乖離検出	システムは、実際の打刻時間と設定されたシフト時間との乖離を検出し、管理職に通知できる。	管理職
req-021	勤怠データの分析・レポート	勤怠レポート生成	人事部門は、月次、四半期、年次で、全従業員の総労働時間、残業時間、休日出勤、休暇取得状況などを集計した詳細レポートを生成できる。	人事部門
req-022	勤怠データの分析・レポート	チーム勤怠ダッシュボード	管理職は、自身のチームの遅刻、早退、欠勤、時間外労働などの勤怠状況を一覧で確認できるダッシュボードを利用できる。	管理職
req-023	勤怠データの分析・レポート	法令遵守レポート自動生成	システムは、労働基準法やその他の関連法規遵守に必要な各種レポート（例：時間外労働集計、休憩取得状況）を自動生成できる。	人事部門, 経理部門
req-024	勤怠データの分析・レポート	過去勤怠データ検索・参照	過去の勤怠データを日付範囲や従業員名、部署などで検索し、参照できる。	管理職, 人事部門, 経理部門
req-025	給与システムとの連携	勤怠データ給与連携	毎月の締め日において、勤怠システムで集計された総労働時間、残業時間、深夜労働時間、休日出勤時間などのデータが、自動的かつ正確に給与計算システムへ連携される。	経理部門, 人事部門
req-026	給与システムとの連携	給与連携データ項目網羅	連携された勤怠データは、給与計算に必要なすべての項目を含み、手動でのデータ入力作業を不要にする。	経理部門
req-027	システム管理	従業員情報管理	システム管理者は、従業員ID、氏名、部署、役職などの基本情報および雇用形態をシステムに登録・更新・削除できる。	システム管理者, 人事部門
req-028	システム管理	勤怠ルール設定・変更	人事部門は、就業規則に基づく勤務時間（定時、休憩時間）、休日、各種休暇制度、残業に関するルールなどをシステムに設定できる。	人事部門
req-029	システム管理	打刻デバイス管理	システム管理者は、打刻に利用するICカードリーダーやスマートフォンアプリ設定など、打刻デバイスの管理を行える。	システム管理者
req-030	セキュリティ・データ管理	システムセキュリティ確保	システムは、不正なアクセスやデータの改ざんを防ぐためのセキュリティ対策が講じられている。	システム管理者
req-031	セキュリティ・データ管理	監査ログ管理	すべての操作履歴（打刻、申請、承認、データ変更など）が監査ログとして記録され、必要に応じて追跡・確認できる。	システム管理者, 人事部門
req-032	セキュリティ・データ管理	データ自動バックアップ	重要な勤怠データは定期的に自動でバックアップされ、データ損失のリスクが最小化される。	システム管理者
req-033	従業員情報管理	従業員情報参照	従業員は、自身の登録されている基本情報（氏名、所属、連絡先など）を確認できる。	一般従業員
