id	分類	機能名	概要	入力	出力	利用者
fun-001	出退勤記録管理	出勤打刻機能	従業員が出勤時刻をICカードまたはスマートフォンアプリで打刻できる。	従業員ID、打刻手段（ICカード/アプリ）、打刻時刻	打刻情報（出勤時刻）のシステムへの記録	一般従業員
fun-002	出退勤記録管理	退勤打刻機能	従業員が退勤時刻をICカードまたはスマートフォンアプリで打刻できる。	従業員ID、打刻手段（ICカード/アプリ）、打刻時刻	打刻情報（退勤時刻）のシステムへの記録	一般従業員
fun-003	出退勤記録管理	リモート打刻機能	リモートワーク中の従業員が、PCまたはスマートフォンアプリから出退勤を打刻できる。	従業員ID、打刻種別（出勤/退勤）、打刻時刻、利用デバイス（PC/スマホ）	リモート打刻情報のシステムへの記録	一般従業員
fun-004	出退勤記録管理	個人打刻履歴表示機能	従業員が自身の過去の出退勤打刻、休憩打刻の履歴を一覧で確認できる。	従業員ID、期間指定（任意）	指定期間の打刻履歴データ	一般従業員
fun-005	出退勤記録管理	部下リアルタイム勤怠状況表示機能	管理職が自身の部下の現在の出退勤状況（出勤中、退勤済、休暇中など）をリアルタイムで確認できる。	管理職ID、部門/チーム指定	部下のリアルタイム勤怠状況一覧	管理職
fun-006	出退勤記録管理	部下勤怠履歴参照機能	管理職が自身の部下の過去の出退勤および休憩打刻履歴を日次・月次で参照できる。	管理職ID、部下名/ID、期間指定	指定部下の打刻履歴データ	管理職
fun-007	出退勤記録管理	打刻修正申請機能	従業員が打刻忘れや誤打刻があった場合に、修正内容（日付、時刻、理由）を記載して申請できる。	従業員ID、修正対象日、修正時刻、修正理由	打刻修正申請データの作成、管理職への通知	一般従業員
fun-008	出退勤記録管理	打刻修正申請承認機能	管理職が部下からの打刻修正申請の一覧を確認し、内容を審査した上で承認または却下できる。	管理職ID、申請ID、承認/却下選択	申請ステータスの更新、従業員への結果通知、承認時の打刻データ更新	管理職
fun-009	休暇管理	休暇申請機能	従業員が有給休暇、特別休暇、慶弔休暇などの各種休暇をオンラインで申請できる。	従業員ID、休暇種別、開始日、終了日、理由	休暇申請データの作成、管理職への通知	一般従業員
fun-010	休暇管理	休暇申請承認機能	管理職が部下からの休暇申請の一覧を確認し、内容を審査した上で承認または却下できる。	管理職ID、申請ID、承認/却下選択	申請ステータスの更新、従業員への結果通知	管理職
fun-011	休暇管理	個人休暇残日数表示機能	従業員が自身の有給休暇、特別休暇などの利用可能な残日数をリアルタイムで確認できる。	従業員ID	休暇種別ごとの残日数データ	一般従業員
fun-012	休暇管理	全社休暇取得状況レポート機能	人事部門が全従業員の休暇取得状況（取得日数、残日数、取得傾向）を部門別、個人別に集計し、レポートとして出力できる。	期間指定、部門指定（任意）	休暇取得状況レポート（CSV/PDFなど）	人事部門
fun-013	休暇管理	承認休暇自動勤怠反映機能	承認された休暇申請に基づき、該当日の勤怠データを自動的に休暇として処理し、労働時間集計から除外する。	承認された休暇申請データ	勤怠データの更新、労働時間集計への反映停止	人事部門, 管理職
fun-014	残業管理	残業申請機能	従業員が予定される残業時間と理由を記載し、オンラインで残業申請を行える。	従業員ID、残業予定日、開始時刻、終了時刻、理由	残業申請データの作成、管理職への通知	一般従業員
fun-015	残業管理	残業申請承認機能	管理職が部下からの残業申請の一覧を確認し、内容を審査した上で承認または却下できる。	管理職ID、申請ID、承認/却下選択	申請ステータスの更新、従業員への結果通知	管理職
fun-016	残業管理	承認残業時間自動勤怠計上機能	承認された残業申請に基づき、実際の打刻時間と照合し、残業時間を自動的に勤怠データに計上する。	承認された残業申請データ、実際の打刻データ	勤怠データへの残業時間の計上	人事部門, 管理職
fun-017	残業管理	残業時間超過アラート機能	従業員の残業時間が設定された法定上限や36協定の限度時間を超える見込み、または超えた場合に、管理職と人事部門に自動でアラート通知を発する。	従業員ごとの残業時間データ、設定された残業上限値	アラート通知（システム内通知、メールなど）	管理職, 人事部門
fun-018	残業管理	部下残業実績レポート機能	管理職が自身の部下の月次の残業時間実績を一覧で確認し、労働時間管理に役立てるレポートを生成できる。	管理職ID、対象月、部門/チーム指定	部下の月次残業時間実績レポート	管理職
fun-019	シフト管理	シフト作成・編集機能	管理職が従業員グループまたは個人ごとに、日別または週別の勤務シフトを柔軟に作成し、編集できる。	管理職ID、対象従業員/グループ、日付、勤務時間帯	シフトデータ	管理職
fun-020	シフト管理	シフト割り当て機能	作成したシフトを従業員またはグループに割り当てる。	シフトデータ、対象従業員/グループ	従業員へのシフト情報の登録	管理職
fun-021	シフト管理	個人シフト確認機能	従業員が自身に割り当てられた勤務シフトをオンラインで確認できる。	従業員ID、期間指定（任意）	自身の勤務シフト情報	一般従業員
fun-022	シフト管理	シフト変更申請機能	従業員がシフト変更を希望する場合、希望日時と理由を記載してオンラインで申請できる。	従業員ID、変更希望日、変更希望シフト、理由	シフト変更申請データの作成、管理職への通知	一般従業員
fun-023	シフト管理	シフト変更申請承認機能	管理職が部下からのシフト変更申請の一覧を確認し、内容を審査した上で承認または却下できる。	管理職ID、申請ID、承認/却下選択	申請ステータスの更新、従業員への結果通知、承認時のシフトデータ更新	管理職
fun-024	シフト管理	シフト乖離検出アラート機能	実際の打刻時間と設定されたシフト時間との間に著しい乖離（例：遅刻、早退、無打刻）があった場合に、システムがそれを検出し、管理職に自動通知する。	従業員ごとの打刻データ、シフトデータ	乖離検出アラート通知（システム内通知、メールなど）	管理職
fun-025	勤怠データの分析・レポート	総労働時間レポート生成機能	人事部門が、全従業員の月次・四半期・年次の総労働時間を集計し、レポートを生成できる。	期間指定、部門指定（任意）	総労働時間レポート（CSV/PDFなど）	人事部門
fun-026	勤怠データの分析・レポート	残業・休日出勤レポート生成機能	人事部門が、全従業員の残業時間、休日出勤時間を集計し、レポートを生成できる。	期間指定、部門指定（任意）	残業・休日出勤レポート（CSV/PDFなど）	人事部門
fun-027	勤怠データの分析・レポート	休暇取得状況詳細レポート生成機能	人事部門が、全従業員の休暇取得状況の詳細を月次・四半期・年次で集計し、レポートを生成できる。	期間指定、部門指定（任意）	休暇取得状況詳細レポート（CSV/PDFなど）	人事部門
fun-028	勤怠データの分析・レポート	チーム勤怠サマリーダッシュボード機能	管理職が自身のチームの遅刻、早退、欠勤、時間外労働などの勤怠状況を一覧で確認できるインタラクティブなダッシュボード。	管理職ID、対象期間、部門/チーム選択	リアルタイムまたは指定期間のチーム勤怠サマリーデータ、グラフ表示	管理職
